FIPS County Code,County Name
001,ADAMS
003,ASHLAND
005,BARRON
007,BAYFIELD
009,BROWN
011,BUFFALO
013,BURNETT
015,CALUMET
017,CHIPPEWA
019,CLARK
021,COLUMBIA
023,CRAWFORD
025,DANE
027,DODGE
029,DOOR
031,DOUGLAS
033,DUNN
035,EAU CLAIRE
037,FLORENCE
039,FOND DU LAC
041,FOREST
043,GRANT
045,GREEN
047,GREEN LAKE
049,IOWA
051,IRON
053,JACKSON
055,JEFFERSON
057,JUNEAU
059,KENOSHA
061,KEWAUNEE
063,LA CROSSE
065,LAFAYETTE
067,LANGLADE
069,LINCOLN
071,MANITOWOC
073,MARATHON
075,MARINETTE
077,MARQUETTE
079,MILWAUKEE
081,MONROE
083,OCONTO
085,ONEIDA
087,OUTAGAMIE
089,OZAUKEE
091,PEPIN
093,PIERCE
095,POLK
097,PORTAGE
099,PRICE
101,RACINE
103,RICHLAND
105,ROCK
107,RUSK
109,SAINT CROIX
109,ST. CROIX
111,SAUK
113,SAWYER
115,SHAWANO
117,SHEBOYGAN
119,TAYLOR
121,TREMPEALEAU
123,VERNON
125,VILAS
127,WALWORTH
129,WASHBURN
131,WASHINGTON
133,WAUKESHA
135,WAUPACA
137,WAUSHARA
139,WINNEBAGO
141,WOOD
078,MENOMINEE
