x1,x2,x3
0.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,1.0
-8.881784197001252e-16,0.0,1.0000000000000009
0.0,0.0,1.0
0.0,1.0,0.0
1.0,-8.673617379884035e-18,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,-2.42861286636753e-17,0.0
1.0,0.0,0.0
1.0,-2.0816681711721685e-17,0.0
-4.440892098500626e-16,0.0,1.0000000000000002
-4.440892098500626e-16,0.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0000000000000002
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,1.0
0.9999999999999999,-1.3877787807814457e-17,0.0
0.0,0.0,1.0
1.0,-2.2551405187698492e-17,0.0
0.0,0.0,1.0
2.6645352591003757e-15,0.0,0.9999999999999973
1.0,0.0,0.0
1.0,-1.0408340855860843e-17,0.0
1.0,0.0,0.0
0.0,0.0,1.0
1.0,-2.0816681711721685e-17,0.0
0.0,1.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9999999999999999,-2.0816681711721685e-17,0.0
0.0,0.0,1.0
0.0,1.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,0.0,1.0
0.0,4.163336342344337e-17,1.0
0.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
1.0,-6.938893903907228e-18,0.0
